FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,500,50000,20,0.999,0.996,0.998,0.999,1.0,0.999
1,20,10000,40,1.0,1.0,1.0,1.0,1.0,1.0
2,50,1000,50,0.968,0.995,0.981,0.995,0.968,0.981
2,20,1000,50,0.933,0.975,0.954,0.974,0.93,0.951
2,20,1000,10,0.841,0.654,0.736,0.962,0.986,0.974
2,100,5000,20,0.989,0.981,0.985,0.995,0.997,0.996
2,100,500,50,0.892,1.0,0.943,1.0,0.871,0.931
2,20,200,20,1.0,0.286,0.444,0.903,1.0,0.949
2,1000,200,20,0.808,0.808,0.808,0.963,0.963,0.963
1,20,500,50,0.928,1.0,0.963,1.0,0.928,0.962
2,500,1000,50,0.987,1.0,0.994,1.0,0.988,0.994
2,1000,500,5,1.0,0.353,0.522,0.972,1.0,0.986
1,500,5000,20,0.986,1.0,0.993,1.0,0.997,0.998
2,1000,10000,40,0.998,0.997,0.998,0.998,0.999,0.999
2,1000,5000,5,0.988,0.907,0.946,0.996,0.999,0.998
2,500,200,50,0.927,0.938,0.933,0.937,0.925,0.931
1,50,500,50,0.944,1.0,0.971,1.0,0.949,0.974
1,500,1000,10,0.986,0.875,0.927,0.986,0.999,0.992
2,20,1000,40,0.96,0.997,0.978,0.998,0.973,0.985
1,1000,5000,5,0.95,0.95,0.95,0.997,0.997,0.997
2,1000,10000,10,0.999,0.944,0.971,0.994,1.0,0.997
1,500,500,5,1.0,0.467,0.636,0.98,1.0,0.99
2,100,10000,20,0.997,0.986,0.991,0.996,0.999,0.998
2,500,500,10,0.96,0.615,0.75,0.96,0.997,0.978
2,500,10000,10,0.996,0.988,0.992,0.999,1.0,0.999
1,500,50000,10,0.999,1.0,1.0,1.0,1.0,1.0
2,50,10000,20,0.992,0.997,0.995,0.999,0.998,0.999
1,50,500,40,0.873,0.993,0.929,0.996,0.918,0.955
1,1000,1000,30,0.972,1.0,0.986,1.0,0.987,0.994
2,1000,50000,50,0.999,0.997,0.998,0.997,0.999,0.998
1,500,10000,10,0.989,1.0,0.995,1.0,0.999,0.999
