FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
1,100,200,10,0,0,0,0.9,1,0.947
1,500,50000,50,0.914,1,0.955,1,0.908,0.952
2,50,5000,50,0.996,1,0.998,1,0.996,0.998
2,500,500,20,1,1,1,1,1,1
2,20,200,5,0,0,0,0.95,1,0.974
1,500,50000,20,0.202,1,0.336,0,0,0
2,100,5000,5,1,1,1,1,1,1
2,50,5000,20,0.988,1,0.994,1,0.997,0.999
2,500,5000,30,0,0,0,0.711,1,0.831
2,50,10000,50,1,1,1,1,1,1
2,50,500,30,0,0,0,0.69,1,0.817
1,1000,5000,20,0.738,0.288,0.414,0.841,0.974,0.903
1,500,500,50,0,0,0,0.56,1,0.718
1,100,200,20,0.455,1,0.625,1,0.829,0.906
2,500,1000,30,0.712,0.75,0.73,0.897,0.878,0.887
2,500,1000,10,1,1,1,1,1,1
1,20,500,40,0,0,0,0.567,1,0.723
2,1000,200,40,1,0.857,0.923,0.929,1,0.963
2,1000,1000,5,0,0,0,0.944,1,0.971
2,20,50000,50,1,1,1,1,1,1
1,20,200,50,0.45,1,0.621,0,0,0
2,500,500,50,1,1,1,1,1,1
1,1000,500,30,0.473,1,0.642,1,0.608,0.756
2,500,1000,40,0.984,0.816,0.892,0.894,0.992,0.94
1,50,50000,40,0.979,1,0.989,1,0.985,0.993
2,50,10000,5,0,0,0,0.96,1,0.98
2,500,10000,30,0.292,1,0.452,0,0,0
1,50,50000,20,0.994,1,0.997,1,0.998,0.999
2,50,50000,40,1,1,1,1,1,1
