FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,50,5000,50,0.946,0.992,0.968,0.991,0.935,0.962
2,500,500,20,0,0,0,0.69,1,0.817
2,20,200,5,1,0.5,0.667,0.974,1,0.987
1,500,50000,20,0.479,0.785,0.595,0.933,0.779,0.849
2,100,5000,5,0.289,0.923,0.44,0.995,0.87,0.928
2,50,5000,20,0.983,0.989,0.986,0.997,0.996,0.997
2,500,5000,30,0,0,0,0.688,1,0.815
2,50,10000,50,0.994,1,0.997,1,0.994,0.997
2,50,500,30,0.897,1,0.945,1,0.959,0.979
1,1000,5000,20,0,0,0,0.815,1,0.898
1,500,500,50,0.596,0.583,0.589,0.623,0.635,0.629
1,100,200,20,0.8,0.5,0.615,0.886,0.969,0.925
2,500,1000,30,0,0,0,0.744,1,0.853
2,500,1000,10,0,0,0,0.897,1,0.946
1,20,500,40,1,1,1,1,1,1
2,1000,200,40,0,0,0,0.525,1,0.689
2,1000,1000,5,0,0,0,0.949,1,0.974
2,20,50000,50,1,1,1,1,1,1
1,20,200,50,1,1,1,1,1,1
2,500,500,50,0,0,0,0.48,1,0.649
1,1000,500,30,0.436,0.515,0.472,0.738,0.672,0.703
2,500,1000,40,0,0,0,0.631,1,0.774
1,50,50000,40,0.999,1,0.999,1,0.999,1
2,50,10000,5,0.972,0.99,0.981,0.999,0.998,0.999
2,500,10000,30,0,0,0,0.699,1,0.823
1,50,50000,20,0.998,1,0.999,1,0.999,1
2,50,50000,40,0.976,0.998,0.987,0.999,0.983,0.991
